iter	Passed	Remaining
0	379	379570
1	524	261676
2	703	233944
3	839	208934
4	1026	204256
5	1139	188775
6	1284	182277
7	1455	180433
8	1597	175852
9	1731	171428
10	1870	168197
11	2038	167834
12	2182	165670
13	2336	164539
14	2504	164486
15	2654	163261
16	2815	162821
17	2946	160728
18	3081	159099
19	3223	157968
20	3360	156675
21	3502	155704
22	3654	155234
23	3792	154218
24	3946	153904
25	4117	154247
26	4267	153775
27	4427	153687
28	4583	153477
29	4737	153178
30	4886	152755
31	5041	152495
32	5192	152162
33	5339	151712
34	5506	151825
35	5670	151851
36	5829	151714
37	5990	151651
38	6143	151377
39	6324	151779
40	6486	151714
41	6631	151266
42	6802	151398
43	6986	151791
44	7140	151541
45	7310	151617
46	7439	150852
47	7614	151023
48	7761	150630
49	7910	150302
50	8073	150225
51	8228	150007
52	8396	150030
53	8561	149989
54	8736	150107
55	8858	149333
56	9035	149475
57	9196	149363
58	9356	149236
59	9494	148743
60	9618	148058
61	9760	147664
62	9870	146798
63	10004	146317
64	10118	145545
65	10288	145595
66	10440	145383
67	10553	144638
68	10703	144424
69	10869	144406
70	11026	144270
71	11166	143922
72	11320	143759
73	11474	143588
74	11595	143016
75	11648	141618
76	11793	141363
77	11948	141237
78	12116	141257
79	12231	140659
80	12381	140479
81	12549	140493
82	12624	139477
83	12728	138800
84	12858	138412
85	13002	138193
86	13178	138296
87	13320	138050
88	13479	137971
89	13661	138132
90	13794	137798
91	13973	137913
92	14155	138058
93	14330	138117
94	14551	138617
95	14713	138552
96	14906	138773
97	15042	138448
98	15178	138137
99	15363	138271
100	15505	138010
101	15616	137483
102	15784	137459
103	15953	137442
104	16124	137440
105	16292	137406
106	16417	137013
107	16579	136931
108	16724	136708
109	16805	135969
110	16901	135362
111	17023	134971
112	17111	134314
113	17245	134028
114	17336	133412
115	17498	133349
116	17638	133116
117	17725	132488
118	17897	132502
119	18064	132471
120	18111	131571
121	18281	131568
122	18453	131572
123	18571	131199
124	18738	131168
125	18873	130914
126	19058	131006
127	19237	131056
128	19396	130961
129	19567	130954
130	19725	130853
131	19871	130667
132	20014	130472
133	20119	130023
134	20281	129953
135	20458	129972
136	20595	129737
137	20779	129797
138	20966	129873
139	21151	129928
140	21303	129782
141	21402	129318
142	21566	129249
143	21724	129139
144	21844	128809
145	21973	128529
146	22156	128568
147	22245	128060
148	22338	127584
149	22407	126973
150	22506	126540
151	22678	126520
152	22801	126226
153	22973	126207
154	23073	125785
155	23233	125700
156	23314	125187
